Food Category,Food name,Source,Vendor,Ingredients,Average quantity per serving,,,,,,,,,,,,,,Average quantity per 100g,,,,,,,,,,,,
,,,,,Serving Size (g),Energy (Kj),Energy (cal),Protein (g),Fat g (Total),Saturated Fat (g),Carbohydrate (g),Sugars (g),Dietary Fibre (g),Sodium (mg),Calcium (mg),GI,GIL,GL,Energy (Kj),Energy (cal),Protein (g),Fat g (Total),Saturated Fat (g),Carbohydrate (g),Sugars (g),Dietary Fibre (g),Sodium (mg),Calcium (mg),GI,GIL,GL
,premium steak pie,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","wheat flour, water, steak (25% minimum), vegetable oils [vegetable oil, water, salt, emulsifiers (471, soybean lecithin), antioxidant (320), flavour], thickeners (1422), salt, seasoning [flavour enhancers (621, 635)], soy flour, flavour, hydrolysed vegetable protein, maltodextrin, breadcrumb (wheat), colour (150c), milk solids.",200,2040,488,21.5,21.8,13.4,50.7,1,,1140,,59,medium,30,1020,244,10.7,10.9,5.7,25.4,0.5,,568,,59,medium,15
,beef stroganoff,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","wheat flour, water, steak (19%), vegetable oils [vegetable oil, water, salt, milk solids, emulsifiers (471, soybean, lecithin), antioxidant (320), flavour], sour cream (5%), onion, thickeners (1422), milk solids, seasonings [flavour enhancers (621, 635)], salt, soy flour, spice, maltodextrin, breadcrumb (wheat), flavours [flavour enhancers (631), herb.",200,2100,502,18.6,24.9,13.5,50.6,2.9,,1020,,59,medium,30,1050,251,9.3,12.4,6.8,25.3,1.4,,511,,59,medium,15
,chicken leek and mushroom pie,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","wheat flour, water, chicken (18%) [chicken breast, water, salt, thickeners (1422, 407), mineral salts (450.451), dextrose, potato starch, vegetable gum (407), sugar, onion powder, canola oil], vegetable oils [vegetable oil, water, salt, emulsifiers (471, soybean lecithin), antioxidants (320), flavour], milk solids, leek (4%), mushroom (2%), thickeners (1422), salt flavours [flavour enhancers (627, 631, 621)], soy flour, maltodextrin, breadcrumb (wheat), spice, herb.",200,2240,536,18.2,27.8,15.3,52.6,4.1,,1090,,59,medium,31,1120,268,9.1,13.9,7.7,26.3,2,,544,,59,medium,16
,quiche lorraine,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","shortcrust pastry (wheatflour, margarine (vegetable fats and oils, water, salt, emulsifiers (soy lecithin 471), antioxidant (320), flavour), preservatives (202, 281), food acid (330), bacon (19%), (pork (89%), water, salt, sugar, mineral salts (450, 451), dextrose, anti-oxidant (316), sodium nitrite (250)) milk, onion (16%), egg, water, cream, cheddar (milk, salt, starter culture - enzyme, anti caking agent (460)), modified corn starch, vegetable oil, milk powder, rocket, salt pepper.",155,1930,462,15.6,32.9,15.2,25.6,4.5,,772,,59,medium,15,1240,297,10.1,21.2,9.8,16.5,2.9,,498,,59,medium,10
,premium sausage roll,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","water, beef (23%), wheat flour, vegetable oil, bread crumb [cereals and cereal flours, yeast, salt, vegetable oils, soy flour, emulsifiers (471, 472-e, 481), preservatives (282), vegetable gum (412), thiamin], onion, wheat fibre, salt, maltodextrin, soy protein, hydrolysed vegetable protein, spices, vegetable powder, flavour enhancer (621, 635), mineral salt (450, 451), chicken fat, natural flavour, emulsifiers (471), spice extracts.",175,2020,483,15.7,26.6,14.4,42.7,0.7,,1180,,59,medium,25,1160,278,8.9,15.2,8.2,24.4,0.4,,673,,59,medium,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverages,Flat white skim milk small,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","skim milk (201ml), coffee, espresso (30ml)",239,300,72,7.6,0.3,0.2,10,10,,107,245,32,low,3,125,30,3.2,0.1,0.1,4.2,4.2,,45,102,32,low,1
,Mocha skim milk small,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","skim milk (201ml), coffee, espresso (30ml), beverage base, chocolate flavour (25.2g)",265,678,162,10.4,2,1.4,26.7,22.9,,145,315,44,low,12,256,61,3.9,0.8,0.5,10.1,8.7,,55,119,44,low,4
,Flat white skim milk large,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","skim milk (245ml), coffee, espresso (90ml)",346,370,88,9.3,0.4,0.4,12.2,12.2,,138,300,32,low,4,107,26,2.7,0.1,0.1,3.5,3.5,,40,87,32,low,1
,Flat white regular milk large,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","milk (245ml), coffee espresso (90ml)",343,662,158,8.7,7,4.6,15.4,14.9,,109,259,31,low,5,193,46,2.5,2,1.4,4.5,4.3,,32,76,31,low,1
,Flat white soy milk small,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","vitasoy soymilk regular (201ml), coffee espresso (30ml)",237,551,132,6.7,6.1,1.2,12.3,7,,125,>0.6,45,low,6,238,57,2.9,2.6,0.5,5.3,3,,54,>0.3,45,low,2
,Flat white soy milk large,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","vitasoy soymilk regular (245ml), coffee espresso (90ml)",346,677,162,8.2,7.5,1.6,15,8.6,,160,>1.8,45,low,7,202,48,2.4,2.2,0.5,4.5,2.6,,47.6,>0.5,45,low,2
,Mocha skim milk large,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","skim milk (245ml), coffee, espresso (90ml), beverage base, chocolate flavour (25.2g)",371,764,183,10.7,1.7,1.1,32.5,31,,178,310,44,low,14,206,49,2.9,0.4,0.3,8.8,8.4,,48,84,44,low,4
,Mocha soy milk small,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Vitasoy original (201ml), coffee espresso (30ml), beverage base, chocolate flavour (25.2g)",257,930,222,9.5,7.8,2.4,28.9,20,,163,>70,48,low,14,362,87,3.7,3.1,0.9,11.3,7.8,,64,>27,48,low,5
,Mocha soy milk large,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","Vitasoy original (245ml), coffee espresso (90ml), beverage base, chocolate flavour (25.2g)",346,1055,252,11.1,9.3,2.7,31.6,21.5,,197.8,>72,48,low,15,292,70,3.1,2.6,0.7,8.7,6,,54.8,>20,48,low,4
,Flat white regular milk small,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","milk (201ml), coffee, espresso (30ml)",237,539,129,7.1,5.7,3.8,12.7,12.2,,83,212,31,low,4,227,54,3,2.4,1.6,5.3,5.2,,35,89,31,low,2
,Mocha regular milk small,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","milk (201ml), coffee, espresso (30ml), beverage, drinking chocolate from chocolate powder (25.2g)",263,933,223,8.5,6.9,4.5,32.9,30.9,,123,222,43,low,14,355,85,3.2,2.6,1.7,12.5,11.8,,47,85,43,low,5
,Mocha regular milk large,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","milk (245ml), coffee espresso (90ml) beverage, drinking chocolate from chocolate powder (25.2g)",368,1056,252,10.1,8.2,5.4,35.6,33.6,,149,270,42,low,15,287,68,2.7,2.2,1.5,9.7,9.1,,40,73,42,low,4
,Coffee long black small,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",coffee espresso (30ml),30,1,0,0,0,0,0,0,,1,1,,,,3,1,0.1,0,0,0.1,0.1,,2,3,,,
,Coffee long black large,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",coffee long black (343 ml),346,10,2,0.4,0,0,0.4,0.4,,7,10,,,,3,1,0.1,0,0,0.1,0.1,,2,3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwiches,Cheese and Tomato Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",cheese and tomato on white bread with margarine,,1012.53,,10.37,9.93,1.91,25.92,3.77,,149.11,,,,,955.2,,9.79,9.37,1.8,25.92,3.56,,140.67,,,,
,Chicken and Mayo Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",chicken and mayo on white bread with margarine,,1356.43,,12.63,10.93,1.91,42.65,5.06,,149.11,,,,,915.94,,8.59,7.43,1.3,29.01,3.44,,101.44,,,,
,Egg Mayo and Lettuce Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","egg, lettuce and mayo on white bread with margarine",,1012.53,,10.37,9.93,1.91,27.47,3.77,,149.11,,,,,865.41,,8.87,8.49,1.63,23.48,3.22,,127.44,,,,
,Ham and Cheese Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",ham and cheese on white bread with margarine,,1412.8,,18.6,10.54,5.14,40.34,2.09,,1097.1,,,,,941.87,,12.4,7.03,3.43,26.89,1.39,,731.4,,,,
,Chicken and Lettuce Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",chicken lettuce and mayo on white bread with margarine,,1706.05,,18.22,17.91,3.76,41.78,2.63,,573.89,,,,,1137.37,,12.14,11.94,2.5,27.86,1.75,,382.59,,,,
,Ham and Coleslaw Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",ham and coleslaw on white bread with margarine,,1402.65,,15.54,11.16,1.8,41.31,2.94,,1156,,,,,904.94,,9.97,7.2,1.16,26.65,1.9,,745.81,,,,
,Tuna and Mayo Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","tuna, mayo with margarine on bread",,1218.01,,17.43,4.1,1.12,43.62,3.24,,510.15,,,,,692.05,,9.9,2.33,0.63,24.78,1.84,,289.86,,,,
,Cheese Salad White Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","cheese, tomato, cucumber, lettuce and carrot on white bread with margarine",,1242.6,,14.2,9.43,4.66,35.28,3.23,,492.04,,,,,748.55,,8.56,5.68,2.81,21.25,1.95,,347.41,,,,
,Egg Mayo and Lettuce Wholemeal Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","egg, lettuce and mayo on brown bread with margarine",,1012.53,,10.37,9.93,1.91,27.47,3.77,,149.11,,,,,855.41,,8.87,8.49,1.63,23.48,3.22,,127.44,,,,
,Ham and Cheese Brown Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",ham and cheese on wholemeal bread with margarine,,1412.8,,18.6,10.54,5.14,40.34,2.09,,1097.1,,,,,941.87,,12.4,7.03,3.43,26.89,1.39,,731.4,,,,
,Chicken and Mayo Wholemeal Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",chicken and mayo on brown bread with margarine,,1356.43,,12.63,10.93,1.91,42.65,5.06,,149.11,,,,,915.94,,8.59,7.43,1.3,29.01,3.44,,101.44,,,,
,Salmon Tomato and Onion Sandwich on Brown,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","salmon, tomato and onion on brown bread with margarine",,1119.08,,15.93,4.73,0.95,36.62,2.71,,638.81,,,,,766.49,,10.91,3.24,0.65,25.08,1.86,,437.54,,,,
,Salmon Tomato and Onion Sandwich on White,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","salmon, tomato and onion on white bread with margarine",,1117.18,,14.79,4.44,0.95,43.17,2.71,,660.66,,,,,804.23,,10.13,3.04,0.65,29.57,1.86,,452.51,,,,
,Tuna and Mayo Wholemeal Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",tuna and mayo with margarine on brown bread,,1466.18,,19.12,12.63,1.88,36.73,2.76,,703.9,,,,,997.4,,13.01,8.59,1.28,24.98,1.88,,478.84,,,,
,Roast Beef Salad Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","roast beed, carrot, lettuce cucumber, tomato on white bread with margarine",,1218.01,,17.43,4.1,1.12,43.62,3.24,,510.15,,,,,692.05,,9.9,2.33,0.63,24.78,1.84,,289.86,,,,
,Salad Brown Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","lettuce, carrot, tomato, cucumber and alfa alfa on brown bread with margarine",,959.57,,9.68,2.83,0.38,37.31,3.48,,470.19,,,,,623.1,,6.29,1.84,0.25,24.23,2.26,,305.32,,,,
,Salad White Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","lettuce, carrot, tomato, cucumber and alfa alfa on white bread with margarine",,1014.67,,8.54,2.55,0.38,43.87,3.48,,492.04,,,,,658.88,,5.55,1.66,0.25,28.48,2.26,,319.51,,,,
,Cheese Salad Brown Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","cheese, tomato, cucumber, lettuce and carrot on brown bread with margarine",,1242.6,,14.2,9.43,4.66,35.28,3.23,,576.7,,,,,748.55,,8.56,5.68,2.81,21.25,1.95,,347.41,,,,
,Ham Cheese Tomato Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",ham cheese tomato on white bread with margarine,,1453.46,,20.38,10.56,5.18,40.76,2.51,,1222.42,,,,,845.03,,11.85,6.14,3.01,23.7,1.46,,710.71,,,,
,Corned Beef Pickled Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",corned beef w/sweet mustard on white bread with margarine,,1227.4,,15.73,5.19,1.58,43.82,5.01,,1104.1,,,,,791.87,,10.15,3.35,1.02,28.27,3.23,,712.32,,,,
,Curried egg lettuce sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",curried egg and lettuce on white bread with margarine,,1592.85,,15.17,16.34,2.99,41.61,2.88,,548.8,,,,,995.53,,9.48,10.21,1.87,26.01,1.8,,365.5,,,,
,Roast Beef and Chutney Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",roast beef and chutney on white bread with margarine,,1265.8,,19.25,4.41,1.31,44.17,5.67,,551.85,,,,,872.97,,13.28,3.04,0.9,30.46,3.91,,380.97,,,,
,Corned Beef Salad Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","corned beef ,carrot, tomato cucumber and lettuce on brown bread with margarine",,1084.3,,15.25,4.79,1.31,35.07,3.02,,851.1,,,,,634.09,,8.92,2.8,0.76,20.51,1.77,,497.72,,,,
,Sweet Chilli Chicken and Lettuce Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",chicken mayo sweet chilli sauce and lettuce with margarine on helgas bread,,1489.23,,20.42,11.49,3.08,40.64,2.73,,506.71,,,,,948.55,,13.01,7.32,1.96,25.89,1.74,,322.75,,,,
,Chicken Lettuce and Mayo Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",chicken mayo and butter lettuce with margarine on helgas bread,,1770.8,,20.52,18.85,4,40.26,2.42,,546.9,,,,,1106.75,,12.83,11.78,2.5,25.16,1.51,,341.81,,,,
,Shaved Ham Salad Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","ham, lettuce, tomato, cucumber, carrot and margarine on helgas bread",,1196.52,,17.8,4.33,0.97,40.59,2.87,,1156.39,,,,,633.08,,9.42,2.29,0.51,21.48,1.52,,611.85,,,,
,Tuna cucumber spanish onion and lettuce Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",tuna cucumber spanish onion lettuce and mayo with margarine on helgas bread,,1194.26,,19.16,3.73,0.78,40.53,2.63,,609.12,,,,,715.13,,11.47,2.23,0.47,24.27,1.58,,364.74,,,,
,Cheese and Garden Salad Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","cheese, cucumber, tomato, lettuce carrot with margarine on helgas bread",,1335.77,,14.52,9.48,4.68,40.8,3.08,,576.99,,,,,767.68,,8.34,5.45,2.69,23.45,1.77,,331.6,,,,
,Egg Lettuce and Cucumber Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",egg lettuce and cucumber with margarine on helgas bread,,1573.16,,15.75,15.49,2.95,40.66,2.82,,566.82,,,,,888.79,,8.9,8.75,1.67,22.97,1.59,,320.24,,,,
,Garden Salad and Caeser dressing Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","lettuce, carrot, tomato, cucumber and caeser dressing with margarine on helgas bread",,1540.67,,14.13,15.17,5.37,40.62,2.89,,578.39,,,,,835.44,,8.29,8.72,3.09,23.34,1.66,,332.41,,,,
,Chicken Cheese Avacado Baby Spinach Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","chicken, cheese, avacado and baby spinach with margarine on helgas bread",,1534.05,,19.33,12.89,3.18,40.57,2.29,,525.05,,,,,989.71,,12.47,8.31,2.05,26.17,1.47,,338.74,,,,
,Chicken and Salad Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","chicken, lettuce, tomato, cucumber, carrot and mayo on helgas bread with margarine",,1756.92,,19.43,18.02,3.61,42.19,3.77,,594.14,,,,,905.63,,10.02,9.29,1.86,21.74,1.94,,306.26,,,,
,Egg Salad Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","egg, lettuce, mayo, cucumber, tomato, carrot and margarine on helgas bread",,1610.22,,15.87,15.63,2.86,42.34,3.92,,619.44,,,,,789.32,,7.78,7.66,1.4,20.75,1.92,,302.18,,,,
,Chicken BLT Sandwich,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","chicken, bacon, lettuce, and tomato with margarine on helgas bread",,2005.64,,27.2,21.79,5.1,40.86,3.03,,991.88,,,,,983.16,,13.33,10.68,2.5,20.03,1.48,,486.22,,,,
,Cheese Salad Long Roll,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","cheese, tomato, cucumber, lettuce and carrot on long roll with margarine",,1575.15,,14.7,11.13,5.21,51.68,5.12,,694.09,,,,,894.97,,8.35,6.32,2.96,29.36,2.91,,394.37,,,,
,Ham Salad Long Roll,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","ham, tomato, cucumber, lettuce on long roll with margarine",,1470.17,,20.29,5.84,1.26,51.47,4.91,,1497.39,,,,,720.67,,9.95,2.86,0.62,25.23,2.4,,734.01,,,,
,Chicken Lettuce Long Roll,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","chicken, lettuce and mayo on long roll with margarine",,1976.5,,20.19,19.82,4.1,51.13,4.46,,650.9,,,,,1235.3,,12.62,12.39,2.56,31.96,2.79,,406.81,,,,
