Food Category,Food name,Source,Vendor,Ingredients,Average quantity per serving,,,,,,,,,,,,,,Average quantity per 100g,,,,,,,,,,,,
,,,,,Serving Size (g),Energy (Kj),Energy (cal),Protein (g),Fat g (Total),Saturated Fat (g),Carbohydrate (g),Sugars (g),Dietary Fibre (g),Sodium (mg),Calcium (mg),GI,GIL,GL,Energy (Kj),Energy (cal),Protein (g),Fat g (Total),Saturated Fat (g),Carbohydrate (g),Sugars (g),Dietary Fibre (g),Sodium (mg),Calcium (mg),GI,GIL,GL
,Spicy lentil salad,Foodworks 2009,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","lentils, cous cous, tomato, parsley, chickpeas, onion, canola oil, shallots, orange juice, sambal oelek, spices, garlic, food acid (260), vegetable gum (412), vinegar, sugar, lemon juice, salt, garlic, seeded mustard, herbs and spices, garlic extract, hot english mustard, lecithin (soy), natural colour (160a), pepper, vegetable gum (415)",200,834,199,7.9,10.4,0.8,15.8,3.5,,199,,47,low,18,417,100,3.9,5.2,0.4,7.9,1.8,,100,,47,low,9
,Chicken Caeser Salad small,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",,,1505.52,,29.16,23.98,6.48,6.48,2.16,,825.12,,,,,697,,13.5,11.1,3,3,1,,382,,,,
,Chicken Caeser Salad,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",,,2272.22,,44.01,36.186,9.78,9.78,3.26,,1245.32,,,,,697,,13.5,11.1,3,3,1,,382,,,,
,Chicken Pasta Salad,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",,,3140,,35,23.4,9.3,127,14.7,,705,,,,,858,,9.6,6.4,2.5,34.7,4,,193,,,,
,Caeser Salad,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",,,2158.8,,31.64,38.64,10.92,10.08,3.36,,1587.6,,,,,771,,11.3,13.8,3.9,3.6,1.2,,567,,,,
,Ham Salad small,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",,,545.9,,13.18,6.59,1.03,3.5,3.5,,976.44,,,,,265,,6.4,3.2,0.5,1.7,1.7,,474,,,,
,Ham Salad,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",,,848,,20.48,10.24,1.6,5.44,5.44,,1516.8,,,,,265,,6.4,3.2,0.5,1.7,1.7,,474,,,,
,Garden Salad small,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",,,388.08,,2.8,5.292,0.45,6.55,6.3,,246.96,,,,,154,,1.1,2.1,0.2,2.6,2.5,,98,,,,
,Anti Pasto Salad small,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",,,2079,,22.05,38.15,12.6,17.5,9.2,,1697.5,,,,,594,,6.3,10.9,3.6,5,2.63,,485,,,,
,Pasta Salad,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",,,2280,,16.5,16,6.8,105,12.3,,450,,,,,914,,6.6,6.4,2.7,42.1,4.9,,180,,,,
